DASYLab 2016 - 2016
Schaltbildname : PreIma-2018
Aufgenommen am : 05.09.2018, 11:43:31
Blocklaenge    : 1
Delta          : 0.08 sec.
Kanalzahl      : 97
> Aktuelle Config.: Federtyp_00.TypCfg
> Typ der Feder: 0
> Faktor nach FFT: 100000,00
> Faktor nach Integr.: 100,00
Datum Uhrzeit;Schreiben 0/0 [V];Schreiben 0/1 [V];Schreiben 0/2 [V];Schreiben 0/3 [V];Schreiben 0/4 [V];Schreiben 0/5 [V];Schreiben 0/6 [V];Schreiben 0/7 [V];Schreiben 0/8 [V];Schreiben 0/9 [V];Schreiben 0/10 [V];Schreiben 0/11 [V];Schreiben 0/12 [V];Schreiben 0/13 [V];Schreiben 0/14 [V];Schreiben 0/15 [V];Schreiben 1/0 [V];Schreiben 1/1 [V];Schreiben 1/2 [V];Schreiben 1/3 [V];Schreiben 1/4 [V];Schreiben 1/5 [V];Schreiben 1/6 [V];Schreiben 1/7 [V];Schreiben 1/8 [V];Schreiben 1/9 [V];Schreiben 1/10 [V];Schreiben 1/11 [V];Schreiben 1/12 [V];Schreiben 1/13 [V];Schreiben 1/14 [V];Schreiben 1/15 [V];Schreiben 2/0 [V];Schreiben 2/1 [V];Schreiben 2/2 [V];Schreiben 2/3 [V];Schreiben 2/4 [V];Schreiben 2/5 [V];Schreiben 2/6 [V];Schreiben 2/7 [V];Schreiben 2/8 [V];Schreiben 2/9 [V];Schreiben 2/10 [V];Schreiben 2/11 [V];Schreiben 2/12 [V];Schreiben 2/13 [V];Schreiben 2/14 [V];Schreiben 2/15 [V];Schreiben 3/0 [V];Schreiben 3/1 [V];Schreiben 3/2 [V];Schreiben 3/3 [V];Schreiben 3/4 [V];Schreiben 3/5 [V];Schreiben 3/6 [V];Schreiben 3/7 [V];Schreiben 3/8 [V];Schreiben 3/9 [V];Schreiben 3/10 [V];Schreiben 3/11 [V];Schreiben 3/12 [V];Schreiben 3/13 [V];Schreiben 3/14 [V];Schreiben 3/15 [V];Schreiben 4/0 [V];Schreiben 4/1 [V];Schreiben 4/2 [V];Schreiben 4/3 [V];Schreiben 4/4 [V];Schreiben 4/5 [V];Schreiben 4/6 [V];Schreiben 4/7 [V];Schreiben 4/8 [V];Schreiben 4/9 [V];Schreiben 4/10 [V];Schreiben 4/11 [V];Schreiben 4/12 [V];Schreiben 4/13 [V];Schreiben 4/14 [V];Schreiben 4/15 [V];Schreiben 5/0 [V];Schreiben 5/1 [V];Schreiben 5/2 [V];Schreiben 5/3 [V];Schreiben 5/4 [V];Schreiben 5/5 [V];Schreiben 5/6 [V];Schreiben 5/7 [V];Schreiben 5/8 [V];Schreiben 5/9 [V];Schreiben 5/10 [V];Schreiben 5/11 [V];Schreiben 5/12 [V];Schreiben 5/13 [V];Schreiben 5/14 [V];Schreiben 5/15 [V];Schreiben 6/0 [V];
05.09.2018 11:43:31,00;3,910272;2,738658;3,910272;0,995222;2,966145;1,007140;2,966145;0,407449;1120,833333;850,000000;1120,833333;7516,666667;4,315026;0,791845;1,282770;0,223151;7,774644;3,057090;7,774644;0,430093;3,569986;1,752085;3,569986;0,190861;1112,500000;745,833333;1112,500000;7504,166667;6,248264;0,794238;2,095320;0,139605;1,933238;10,563290;0,002394;1,586083;0,812550;3,378091;0,083546;0,362757;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:43:43,00;9,601407;7,359886;9,601407;0,493414;3,888625;3,888625;3,601365;0,220027;745,833333;745,833333;1120,833333;7616,666667;6,927481;1,473001;2,700231;0,196913;8,917901;6,593657;8,917901;0,448157;5,661194;1,875372;5,661194;0,222277;1116,666667;775,000000;1116,666667;7516,666667;8,249753;1,400810;2,378820;0,144876;1,322272;15,177235;0,072191;2,873811;0,321411;5,079050;0,052037;0,341789;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:43:55,00;16,279963;16,279963;15,644800;0,519202;8,398339;8,398339;6,783087;0,217356;770,833333;770,833333;1150,000000;7504,166667;7,114118;2,149413;2,497429;0,211146;17,446256;10,144257;17,446256;1,215841;6,067087;6,067087;5,255746;0,520765;754,166667;754,166667;1075,000000;7512,500000;10,484030;2,242654;4,211426;0,236233;3,369912;17,598149;0,093241;4,392067;1,713997;6,708855;0,025087;0,447379;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
05.09.2018 11:44:08,00;8,021914;5,455024;8,021914;0,917885;3,094956;3,094956;3,004495;0,359739;741,666667;741,666667;1125,000000;7500,000000;6,096432;1,286048;1,725123;0,266854;9,559881;6,241428;9,559881;0,364357;4,578553;2,054397;4,578553;0,137730;1150,000000;725,000000;1150,000000;7516,666667;8,904601;1,778015;2,731278;0,141362;2,808168;15,001033;0,491967;3,064064;1,006155;4,456401;0,125492;0,408216;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:44:30,00;4,911746;4,911746;3,186003;0,422713;2,049487;1,999420;2,049487;0,219096;1025,000000;650,000000;1025,000000;7562,500000;4,765961;1,302106;1,505307;0,156332;16,620998;7,320819;16,620998;0,359528;6,505566;3,111568;6,505566;0,210071;1233,333333;787,500000;1233,333333;7537,500000;9,339323;1,678654;4,581980;0,105264;4,573363;14,105284;0,376548;2,980760;3,076674;6,087287;0,051068;0,261596;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
05.09.2018 11:44:42,00;9,868171;5,744691;9,868171;0,639223;3,425240;1,964666;3,425240;0,285850;1091,666667;750,000000;1091,666667;7604,166667;5,654062;1,348192;2,267348;0,180535;7,412241;5,494401;7,412241;0,302402;3,526125;2,360680;3,526125;0,134123;1129,166667;766,666667;1129,166667;7537,500000;7,202678;1,507409;2,434865;0,108139;1,548616;12,856740;0,159217;2,855601;0,167517;4,702214;0,072396;0,288674;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:44:54,00;34,749138;8,379696;34,749138;0,872046;13,875531;3,946598;13,875531;0,508507;1187,500000;975,000000;1187,500000;7579,166667;16,332684;2,328718;9,168275;0,293282;34,538960;10,927678;34,538960;0,495097;17,936253;6,148693;17,936253;0,257345;1187,500000;1000,000000;1187,500000;7575,000000;16,973947;3,333961;8,228658;0,165020;0,641262;33,306631;1,005243;5,662679;0,939617;17,396933;0,128263;0,458302;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;
05.09.2018 11:45:07,00;7,311517;3,781345;7,311517;0,351832;3,763425;1,896248;3,763425;0,246188;1083,333333;1000,000000;1083,333333;7995,833333;4,460549;0,872424;1,857604;0,124820;20,787970;6,180221;20,787970;0,374086;6,101355;2,675245;6,101355;0,196062;1187,500000;987,500000;1187,500000;7541,666667;8,415051;1,279437;3,804667;0,129121;3,954501;12,875600;0,407013;2,151861;1,947063;5,662271;0,004300;0,253941;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
05.09.2018 11:45:19,00;10,533230;2,926770;10,533230;0,174100;4,560425;1,086400;4,560425;0,068750;1162,500000;870,833333;1162,500000;7741,666667;4,612011;0,721590;2,371762;0,061880;11,396912;4,339413;11,396912;0,256914;6,538104;1,344267;6,538104;0,116411;1141,666667;708,333333;1141,666667;7720,833333;7,057907;0,832027;2,988274;0,089229;2,445896;11,669918;0,110436;1,553617;0,616512;5,360036;0,027349;0,151109;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
05.09.2018 11:45:31,00;8,839454;1,975948;8,839454;0,197276;3,221195;0,885430;3,221195;0,070620;1095,833333;725,000000;1095,833333;7566,666667;3,607388;0,663638;1,737811;0,072542;10,932478;3,004557;10,932478;0,254279;6,083337;1,514916;6,083337;0,134035;1120,833333;741,666667;1120,833333;7595,833333;7,291825;1,057325;3,327463;0,073610;3,684437;10,899214;0,393687;1,720963;1,589652;5,065274;0,001068;0,146152;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
